id_venta,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,metodo_pago,total_venta,cliente_id_num,producto_id_num,total_calc
50001,1049,2001,2025-02-02,2.0,19990.0,0.15,Tarjeta,999.999,1049,2001,33983.0
50002,001045,2099,2024-07-23,2.0,,0.05,Tarjeta,,1045,2099,
50004,1032,2099,2024-05-05,1.0,159990.0,0.15,Efectivo,,1032,2099,135991.5
50011,1009,2005,2025-01-29,2.0,0.0,0.1,Débito,,1009,2005,0.0
50012,1042,2001,2024-08-02,5.0,159990.0,0.05,Tarjeta,999.999,1042,2001,759952.5
50013,1054,2004,2024-09-07,3.0,599000.0,0.1,Efectivo,999.999,1054,2004,1617300.0
50014,1039,2012,2024-04-02,4.0,,0.0,Tarjeta,,1039,2012,
50017,1031,2003,2025-07-06,3.0,0.0,0.05,Efectivo,$0,1031,2003,0.0
50019,001001,2010,2024-02-16,2.0,,0.05,Tarjeta,,1001,2010,
50020,1013,2012,2025-03-01,3.0,499000.0,0.0,Débito,$0,1013,2012,1497000.0
50022,1035,2001,2024-10-23,3.0,,0.05,Débito,$0,1035,2001,
50025,1025,2005,2024-04-21,1.0,29.99,0.05,Tarjeta,,1025,2005,28.490499999999997
50026,1039,2003,2024-03-25,1.0,,0.0,Tarjeta,,1039,2003,
50027,1042,2003,2024-07-02,2.0,19990.0,0.15,Tarjeta,$0,1042,2003,33983.0
50030,1028,2002,2024-01-15,3.0,,0.05,Tarjeta,,1028,2002,
50032,001999,2002,2024-08-11,3.0,,0.0,Débito,999.999,1999,2002,
50033,1028,2012,2024-07-10,3.0,599000.0,0.0,Tarjeta,$0,1028,2012,1797000.0
50034,1040,2009,2025-05-25,5.0,19990.0,0.0,Tarjeta,,1040,2009,99950.0
50035,1003,2001,2024-03-22,5.0,159990.0,0.0,Tarjeta,,1003,2001,799950.0
50038,1005,2005,2025-08-03,5.0,159990.0,0.0,Débito,,1005,2005,799950.0
50040,1051,2008,2024-10-17,3.0,159990.0,0.15,Efectivo,999.999,1051,2008,407974.5
50041,1037,2099,2024-02-13,3.0,599000.0,0.15,Efectivo,$0,1037,2099,1527450.0
50043,1038,2001,2025-08-02,4.0,159990.0,0.05,Tarjeta,,1038,2001,607962.0
50044,1029,2009,2024-03-30,2.0,29.99,0.05,Débito,$0,1029,2009,56.980999999999995
50045,1030,2009,2025-08-26,4.0,29.99,0.1,Tarjeta,999.999,1030,2009,107.964
50047,001002,2008,2025-01-18,3.0,,0.0,Tarjeta,$0,1002,2008,
50049,001055,2010,2025-05-12,5.0,159990.0,0.05,Tarjeta,,1055,2010,759952.5
50050,1049,2010,2024-05-14,1.0,0.0,0.1,Tarjeta,,1049,2010,0.0
50052,1005,2002,2025-02-10,2.0,159990.0,0.15,Tarjeta,,1005,2002,271983.0
50053,001999,2011,2025-02-06,3.0,,0.1,Débito,999.999,1999,2011,
50054,1046,2004,2024-06-25,5.0,0.0,0.0,Tarjeta,,1046,2004,0.0
50055,1016,2099,2025-09-06,1.0,499000.0,0.1,Débito,,1016,2099,449100.0
50056,1005,2004,2024-01-11,2.0,,0.15,Débito,$0,1005,2004,
50058,1058,2011,2024-01-13,4.0,19990.0,0.1,Tarjeta,,1058,2011,71964.0
50062,1026,2007,2024-09-09,1.0,159990.0,0.05,Débito,$0,1026,2007,151990.5
50063,1051,2003,2024-09-23,2.0,0.0,0.05,Efectivo,,1051,2003,0.0
50065,1048,2004,2025-08-01,5.0,29.99,0.1,Tarjeta,,1048,2004,134.95499999999998
50066,1018,2007,2024-06-15,5.0,599000.0,0.0,Tarjeta,,1018,2007,2995000.0
