id_venta,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,metodo_pago,total_venta
50000,1054,2007,05/09/2025,1,$-10,5 %,TDC,$0
50001,1049,2001,02/02/2025,2,$19.990,"0,15",Crédito,999.999
50002,001045,2099,23-07-24,2,NaN,5 %,Crédito,NaN
50003,1032,2001,13-01-25,dos,NaN,10%,TDC,NaN
50004,1032,2099,05-05-24,1, 159.990 ,"0,15",Efectivo,NaN
50005,1003,2001,03/17/2024,dos,$0,5 %,Debito,
50006,1014,2005,2025-02-14,dos,NaN,10%,TDC,999.999
50007,001059,2099,2024-03-11,-1,"29,990",10%,Débito,NaN
50008,1029,2005,2025-07-15,-1,$0,10%,Debito,NaN
50009,1043,2005,2025-03-12,-1,$19.990,  ,Debito,$0
50010,1015,2011,05-11-24,-1,NaN,0.05,tarjeta,$0
50011,1009,2005,29/01/2025,2,$0,10%,Débito,
50012,1042,2001,02/08/2024,5, 159.990 ,5 %,tarjeta,999.999
50013,1054,2004,07/09/2024, 3 ,$599.000,10%,Efectivo,999.999
50014,1039,2012,02-04-24,4,NaN,  ,Crédito,
50015,1047,2008,29/04/2024,5,$-10,10%,TDC,NaN
50016,1031,2009,02/29/2024,-1,$599.000,  ,efec.,999.999
50017,1031,2003,06/07/2025,3,$0,0.05,efec.,$0
50018,1053,2008,01/18/2025,dos,499.000,10%,Débito,
50019,001001,2010,16-02-24,2,NaN,0.05,TDC,
50020,1013,2012,2025-03-01, 3 ,499.000,  ,Débito,$0
50021,1030,2099,2025-06-22,5,$-10,"0,15",Efectivo,$0
50022,1035,2001,23-10-24, 3 ,NaN,0.05,Débito,$0
50023,001055,2009,2024-12-19,-1,499.000,"0,15",Crédito,$0
50024,001045,2005,10/05/2024,1,$-10,  ,Efectivo,
50025,1025,2005,21/04/2024,1,"29,990",0.05,Tarjeta,NaN
50026,1039,2003,2024-03-25,1,NaN,  ,TDC,
50027,1042,2003,02/07/2024,2,$19.990,"0,15",TDC,$0
50028,1035,2012,21-09-24,3,$-10,,Débito,
50029,1027,2010,15/08/2025,-1,$19.990,,Efectivo,NaN
50030,1028,2002,01/15/2024,3,NaN,0.05,tarjeta,
50031,1041,2008,2024-08-05,1,$-10,,Tarjeta,
50032,001999,2002,11/08/2024,3,NaN,,Debito,999.999
50033,1028,2012,10/07/2024, 3 ,$599.000,  ,tarjeta,$0
50034,1040,2009,05/25/2025,5,$19.990,  ,Tarjeta,
50035,1003,2001,03/22/2024,5, 159.990 ,  ,TDC,NaN
50036,1038,2001,19-11-24,-1,NaN,  ,TDC,999.999
50037,001999,2099,29-04-24,3,$-10,0.05,Efectivo,NaN
50038,1005,2005,03-08-25,5, 159.990 ,,Débito,
50039,1053,2003,11/12/2024,4,$-10,0.05,Efectivo,999.999
50040,1051,2008,17/10/2024, 3 , 159.990 ,"0,15",Efectivo,999.999
50041,1037,2099,13-02-24,3,$599.000,"0,15",efec.,$0
50042,1034,2002,07/06/2025,dos,"29,990",  ,Crédito,$0
50043,1038,2001,02/08/2025,4, 159.990 ,5 %,Tarjeta,NaN
50044,1029,2009,30-03-24,2,"29,990",0.05,Debito,$0
50045,1030,2009,2025-08-26,4,"29,990",10%,tarjeta,999.999
50046,1051,2012,23-10-24, 3 ,$-10,5 %,TDC,999.999
50047,001002,2008,18/01/2025, 3 ,NaN,,TDC,$0
50048,1038,2001,19-12-24,0,$19.990,,Tarjeta,999.999
50049,001055,2010,2025-05-12,5, 159.990 ,0.05,tarjeta,NaN
50050,1049,2010,14-05-24,1,$0,10%,TDC,NaN
50051,1005,2001,22/02/2024,0,$0,  ,efec.,NaN
50052,1005,2002,10/02/2025,2, 159.990 ,"0,15",Crédito,
50053,001999,2011,06/02/2025,3,NaN,10%,Débito,999.999
50054,1046,2004,25/06/2024,5,$0,,Tarjeta,
50055,1016,2099,06/09/2025,1,499.000,10%,Débito,
50056,1005,2004,11/01/2024,2,NaN,"0,15",Débito,$0
50057,1024,2002,01/18/2025,dos,$599.000,0.05,Crédito,999.999
50058,1058,2011,01/13/2024,4,$19.990,10%,Crédito,
50059,001059,2010,2025-01-17,-1,499.000,0.05,Tarjeta,
50060,1028,2006,2024-11-26,-1,499.000,  ,Débito,999.999
50061,1021,2004,2024-02-28,-1,$599.000,0.05,TDC,$0
50062,1026,2007,2024-09-09,1, 159.990 ,5 %,Debito,$0
50063,1051,2003,09/23/2024,2,$0,0.05,efec.,
50064,1009,2009,2024-02-28,0,NaN,"0,15",tarjeta,$0
50065,1048,2004,01/08/2025,5,"29,990",10%,tarjeta,NaN
50066,1018,2007,15/06/2024,5,$599.000,  ,Tarjeta,NaN
50067,1051,2009,2024-12-15,-1,$19.990,5 %,Debito,999.999
50068,1023,2007,02/11/2024,4, 159.990 ,5 %,TDC,999.999
50069,1053,2003,2025-06-18,3,"29,990",5 %,tarjeta,
50070,1056,2010,22-05-25,3,"29,990",10%,Crédito,$0
50071,1012,2001,03/08/2024,1,$0,"0,15",Debito,NaN
50072,1005,2001,02/23/2025,3, 159.990 ,10%,TDC,$0
50073,001002,2003,15/01/2025, 3 ,NaN,5 %,tarjeta,
50074,1022,2012,07-09-24,dos,$19.990,"0,15",tarjeta,NaN
50075,1028,2009,2024-01-27,1,"29,990",,Crédito,999.999
50076,1010,2002,15-11-24,0,$19.990,,tarjeta,999.999
50077,1016,2001,08/13/2025,0,"29,990",  ,efec.,
50078,1022,2002,02/07/2024,5,499.000,0.05,efec.,$0
50079,1007,2002,05/04/2024,3,"29,990",10%,TDC,NaN
50080,1047,2007,17/06/2024,dos,$-10,5 %,Tarjeta,NaN
50081,abc,2001,06-01-25,dos,"29,990","0,15",Efectivo,$0
50082,1052,2007,28/07/2025, 3 ,$599.000,  ,Débito,999.999
50083,001055,2007,12-01-24,2,$599.000,,Débito,NaN
50084,1012,2009,2024-01-22,3,$-10,0.05,efec.,
50085,1051,2001,05-02-24,5,$19.990,5 %,tarjeta,$0
50086,1007,2009,01/14/2024,4,$19.990,"0,15",tarjeta,$0
50087,1022,2011,19/06/2024,1, 159.990 ,,efec.,999.999
50088,1028,2002,2025-06-07,5,$-10,5 %,Debito,$0
50089,1015,2012,30-03-24,-1,"29,990",  ,Efectivo,999.999
50090,1035,2012,01/10/2025,0, 159.990 ,5 %,efec.,NaN
50091,1052,2005,2024-02-01, 3 ,"29,990",10%,Efectivo,NaN
50092,001000,2006,2024-06-15, 3 ,$0,0.05,Debito,$0
50093,1056,2004,29/10/2024,1,$599.000,5 %,tarjeta,$0
50094,1028,2011,03/04/2024,-1,$0,  ,tarjeta,999.999
50095,001999,2011,06/07/2024, 3 ,$0,10%,Crédito,$0
50096,1052,2009,04/07/2024,5,$599.000,0.05,tarjeta,
50097,1026,2099,17/07/2025,-1,$-10,5 %,TDC,NaN
50098,1054,2099,13/10/2024,dos,NaN,  ,efec.,$0
50099,1046,2006,26-10-24,dos,$-10,  ,Débito,
50100,1050,2012,05/26/2025,-1, 159.990 ,10%,Debito,999.999
50101,1027,2010,2025-01-21,2,$0,"0,15",Crédito,$0
50102,1013,2007,11/01/2024,1, 159.990 ,5 %,efec.,$0
50103,1058,2009,11/15/2024,0,$-10,0.05,efec.,$0
50104,001002,2010,12/25/2024,1,499.000,5 %,Crédito,
50105,1026,2006,05/27/2025,0,$599.000,10%,Efectivo,NaN
50106,1025,2008,24-08-25,0,499.000,10%,Débito,$0
50107,1023,2002,2024-11-14,2, 159.990 ,  ,Débito,NaN
50108,1040,2003,20-06-25,0,"29,990",5 %,Crédito,NaN
50109,1011,2001,01/08/2025, 3 ,$19.990,  ,Efectivo,
50110,1050,2001,10/11/2024,5,$-10,,Tarjeta,
