id_venta,id_cliente,id_producto,fecha_venta,cantidad,sucursal_id
50001,1009,2005,2024-01-16,2,5
50002,1019,2006,2024-06-20,4,4
50003,1022,2008,2024-03-03,4,5
50004,1027,2006,2024-04-15,4,2
50005,1012,2012,2024-07-05,3,1
50006,1001,2001,2024-04-18,2,4
50007,1015,2007,2024-08-07,5,4
50008,1026,2015,2024-08-25,2,4
50009,1010,2008,2024-02-12,4,9
50010,1028,2010,2024-03-14,4,2
50011,1015,2010,2024-02-09,2,2
50012,1028,2001,2024-01-15,1,3
50013,1022,2001,2024-01-21,2,2
50014,1024,2011,2024-08-15,5,5
50015,1999,2002,2024-05-24,5,4
50016,1011,2009,2024-04-11,2,2
50017,1022,2005,2024-01-03,4,4
50018,1022,2004,2024-03-08,2,3
50019,1999,2005,2024-04-22,5,2
50020,1023,2001,2024-06-19,5,4
50021,1025,2011,2024-08-15,1,3
50022,1025,2004,2024-02-22,3,1
50023,1009,2099,2024-07-31,3,9
50024,1004,2002,2024-02-11,4,1
50025,1025,2008,2024-06-25,2,2
50026,1016,2003,2024-01-11,3,2
50027,1019,2099,2024-02-23,2,5
50028,1023,2008,2024-07-10,2,2
50029,1006,2001,2024-04-15,1,5
50030,1018,2005,2024-08-09,2,1
50031,1014,2009,2024-04-30,2,5
50032,1009,2009,2024-02-28,2,9
50033,1013,2005,2024-07-16,3,1
50034,1021,2001,2024-01-08,1,5
50035,1024,2099,2024-03-29,3,1
50036,1010,2004,2024-01-12,4,9
50037,1006,2012,2024-07-08,2,2
50038,1006,2009,2024-06-18,1,3
50039,1012,2010,2024-06-27,3,3
50040,1010,2009,2024-08-19,2,5
50041,1024,2099,2024-02-23,4,2
50042,1009,2012,2024-02-24,5,2
50043,1004,2005,2024-03-13,5,4
50044,1005,2006,2024-06-21,3,2
50045,1019,2005,2024-06-05,1,2
50046,1012,2010,2024-05-06,4,1
50047,1006,2010,2024-08-14,1,2
50048,1012,2001,2024-05-22,2,2
50049,1013,2004,2024-05-23,5,4
50050,1009,2007,2024-05-09,4,4
50051,1007,2008,2024-04-25,3,1
50052,1012,2009,2024-06-09,2,5
50053,1008,2010,2024-08-16,5,3
50054,1027,2009,2024-01-17,4,5
50055,1023,2007,2024-04-09,5,5
50056,1003,2006,2024-01-02,3,4
50057,1023,2005,2024-07-10,5,5
50058,1021,2010,2024-01-08,4,1
50059,1027,2010,2024-08-23,2,5
50060,1030,2004,2024-01-07,1,5
50061,1022,2099,2024-03-24,2,4
50062,1019,2003,2024-07-31,4,1
50063,1005,2007,2024-03-30,2,4
50064,1009,2004,2024-03-04,2,3
50065,1028,2003,2024-05-24,2,3
50066,1022,2004,2024-07-02,1,5
50067,1026,2005,2024-03-20,5,4
50068,1022,2001,2024-06-25,2,4
50069,1004,2004,2024-07-22,5,2
50070,1006,2012,2024-06-14,3,9
50071,1003,2010,2024-06-11,4,5
50072,1015,2009,2024-06-06,5,2
50073,1010,2006,2024-08-06,2,1
50074,1003,2001,2024-05-25,5,3
50075,1030,2010,2024-03-31,3,4
50076,1001,2005,2024-05-12,2,5
50077,1007,2007,2024-05-01,4,3
50078,1005,2001,2024-03-19,5,2
50079,1015,2002,2024-03-25,3,4
50080,1008,2003,2024-03-21,1,4
50081,1025,2005,2024-05-03,3,2
50082,1002,2010,2024-02-19,3,5
50083,1021,2005,2024-01-12,1,4
50084,1022,2001,2024-01-27,1,3
50085,1010,2007,2024-03-05,4,1
50086,1022,2005,2024-01-14,2,5
50087,1001,2002,2024-05-22,4,1
50088,1012,2012,2024-08-20,4,5
50089,1027,2004,2024-06-05,1,3
50090,1021,2007,2024-03-02,2,3
50091,1030,2012,2024-03-15,1,5
50092,1013,2004,2024-02-29,3,1
50093,1017,2006,2024-01-30,5,1
50094,1007,2006,2024-02-12,3,2
50095,1019,2009,2024-06-25,3,2
50096,1025,2008,2024-06-02,1,3
50097,1007,2015,2024-06-21,5,1
50098,1021,2002,2024-01-11,2,5
50099,1026,2012,2024-04-21,4,1
50100,1002,2011,2024-08-07,2,5
50101,1010,2012,2024-07-13,5,9
50102,1016,2006,2024-04-13,5,4
50103,1023,2007,2024-02-18,5,2
50104,1025,2008,2024-03-09,5,4
50105,1004,2009,2024-06-10,5,3
50106,1014,2099,2024-01-24,2,1
50107,1020,2010,2024-02-09,4,4
50108,1025,2001,2024-04-30,2,5
50109,1021,2012,2024-08-13,2,5
50110,1010,2006,2024-07-20,5,5
50111,1005,2008,2024-06-17,4,5
50112,1024,2011,2024-05-19,4,1
50113,1014,2007,2024-02-29,4,9
50114,1023,2001,2024-04-08,2,5
50115,1020,2009,2024-08-11,4,2
50116,1018,2009,2024-06-16,2,3
50117,1008,2007,2024-06-15,1,4
50118,1003,2004,2024-06-09,4,2
50119,1001,2010,2024-03-14,2,5
50120,1015,2004,2024-01-26,4,3
